央视卫视,#genre#
CCTV1,http://115.205.137.200:55555/rtp/233.50.201.118:5140
CCTV2,http://115.205.137.200:55555/rtp/233.50.201.119:5140
CCTV3,http://115.205.137.200:55555/rtp/233.50.201.196:5140
CCTV4,http://115.205.137.200:55555/rtp/233.50.201.4:5140
CCTV5,http://115.205.137.200:55555/rtp/233.50.201.197:5140
CCTV5+,http://115.205.137.200:55555/rtp/233.50.201.220:5140
CCTV6,http://115.205.137.200:55555/rtp/233.50.201.198:5140
CCTV7,http://115.205.137.200:55555/rtp/233.50.201.120:5140
CCTV8,http://115.205.137.200:55555/rtp/233.50.201.199:5140
CCTV9,http://115.205.137.200:55555/rtp/233.50.201.121:5140
CCTV10,http://115.205.137.200:55555/rtp/233.50.201.122:5140
CCTV11,http://115.205.137.200:55555/rtp/233.50.201.11:5140
CCTV12,http://115.205.137.200:55555/rtp/233.50.201.123:5140
CCTV13,http://115.205.137.200:55555/rtp/233.50.201.246:5140
CCTV14,http://115.205.137.200:55555/rtp/233.50.201.124:5140
CCTV15,http://115.205.137.200:55555/rtp/233.50.201.15:5140
CCTV16 4k,http://115.205.137.200:55555/rtp/233.50.201.63:5140
CCTV16,http://115.205.137.200:55555/rtp/233.50.201.192:5140
CCTV17,http://115.205.137.200:55555/rtp/233.50.201.35:5140

省级卫视,#genre#
浙江卫视,http://115.205.137.200:55555/rtp/233.50.201.100:5140
深圳卫视,http://115.205.137.200:55555/rtp/233.50.201.101:5140
广东卫视,http://115.205.137.200:55555/rtp/233.50.201.102:5140
湖南卫视,http://115.205.137.200:55555/rtp/233.50.201.103:5140
天津卫视,http://115.205.137.200:55555/rtp/233.50.201.104:5140
山东卫视,http://115.205.137.200:55555/rtp/233.50.201.105:5140
江苏卫视,http://115.205.137.200:55555/rtp/233.50.201.106:5140
北京卫视,http://115.205.137.200:55555/rtp/233.50.201.107:5140
四川卫视,http://115.205.137.200:55555/rtp/233.50.201.139:5140
河北卫视,http://115.205.137.200:55555/rtp/233.50.201.140:5140
辽宁卫视,http://115.205.137.200:55555/rtp/233.50.201.141:5140
贵州卫视,http://115.205.137.200:55555/rtp/233.50.201.142:5140
重庆卫视,http://115.205.137.200:55555/rtp/233.50.201.143:5140
河南卫视,http://115.205.137.200:55555/rtp/233.50.201.144:5140
江西卫视,http://115.205.137.200:55555/rtp/233.50.201.145:5140
东南卫视,http://115.205.137.200:55555/rtp/233.50.201.146:5140
安徽卫视,http://115.205.137.200:55555/rtp/233.50.201.113:5140
湖北卫视,http://115.205.137.200:55555/rtp/233.50.201.114:5140
